in-card__title,nd-figure__content,in-realEstateListCard__priceOnTop,nd-list
"Monolocale via Pompeo Cambiasi 8, Casoretto, Milano",,€ 165.000,140m²11
"Quadrilocale via Caduti in Missione di Pace 3, Rubattino, Milano",,€ 435.000,4117m²2
"Trilocale via Appennini 90, Gallaratese, Milano",,€ 345.000,399m²21
"Bilocale via Giuseppe Ripamonti 197, Vigentino - Fatima, Milano",,€ 175.000,274m²1T
"Appartamento all'asta via Elio Vittorini 32, Milano",,"da € 100.200,00",331/01/202480m²1
"Appartamento all'asta via Michele Lessona 2, Milano",,"da € 59.250,00",213/12/202348m²3
"Bilocale viale delle Rimembranze di Lambrate 17, Lambrate, Milano",,€ 395.000,282m²14
"Trilocale via Sergio Tofano, Quinto Romano, Milano",,€ 359.000,3121m²2
"Trilocale viale Stelvio 60, Farini, Milano",,€ 550.000,3125m²25
"Monolocale via Alessandro Astesani 56, Affori, Milano",,€ 135.000,133m²11
"Bilocale via Federico Bellazzi 10, Ponte Nuovo, Milano",,€ 340.000,270m²11
"Monolocale via Marco d'Agrate 19, Corvetto, Milano",,€ 120.000,135m²11
"Bilocale via Conservatorio 13, Palestro, Milano",,€ 3.400.000,2179m²12
"Bilocale via Giovanni Schiaparelli, Centrale, Milano",,€ 340.000,260m²11
"Appartamento all'asta via Busseto 4, Milano",,"da € 54.525,00",206/12/202354m²4 - 5
"Bilocale via Francesco De Sanctis, 104, Cermenate - Abbiategrasso, Milano",,€ 189.000,240m²11
"Bilocale viale Certosa 240, Cascina Merlata - Musocco, Milano",,€ 189.000,263m²15
"Bilocale via Generale Giuseppe Govone 31, Cenisio, Milano",,€ 380.000,267m²12
"Monolocale via Pompeo Cambiasi 5, Casoretto, Milano",,€ 179.000,140m²12
"Bilocale via Carlo Crivelli 6, Quadronno - Crocetta, Milano",,€ 890.000,287m²13
"Quadrilocale viale Piceno, Indipendenza, Milano",,€ 1.290.000,4180m²21
"Bilocale via Plinio 13, Morgagni, Milano",,€ 560.000,280m²1
"Appartamento via Bullona, Sempione, Milano",,€ 1.220.000,5183m²2T
"Trilocale via carnia 30, Udine, Milano",,€ 279.000,390m²1R
"Trilocale via Vincenzo Foppa 50, Dezza, Milano",,€ 495.000,386m²1R
"Quadrilocale via Jacopo Palma 1, Gambara, Milano",,€ 680.000,4125m²37
"Appartamento via Giuseppe Vigoni, Ticinese, Milano",,€ 1.800.000,5225m²31
"Bilocale via Giuseppe Antonio Borgese 14, Cenisio, Milano",,€ 327.000,265m²15
"Bilocale via Egidio Folli 27, Lambrate, Milano",,€ 220.000,240m²1T
"Attico via Egadi 4, Dezza, Milano",,€ 319.000,255m²14
"Trilocale via Tito Livio 33, Martini - Insubria, Milano",,€ 420.000,386m²15
"Trilocale via Sant'Alessandro Sauli, Pasteur, Milano",,€ 650.000,3140m²2R
"Quadrilocale viale San Gimignano 10, Bande Nere, Milano",,€ 640.000,4120m²27
"Bilocale via Francesco Melzi d'Eril 18, Arena, Milano",,€ 390.000,280m²1S
"Bilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 299.000,262m²21
"Trilocale via Piero Preda 2, Pezzotti - Meda, Milano",,€ 385.000,385m²13
"Quadrilocale ottimo stato, settimo piano, Porta Nuova, Milano",,€ 1.298.000,4141m²27
"Bilocale via Bullona, Sempione, Milano",,€ 490.000,273m²1T
"Trilocale via Cardinale Branda Castiglioni 1, Bovisa, Milano",,€ 385.000,3100m²11
"Loft via Bezzecca, Cadore, Milano",,€ 1.150.000,4160m²2S - T
"Trilocale via Giulio e Corrado Venini 38, Pasteur, Milano",,€ 379.000,375m²14
"Trilocale via Francesco Caracciolo 62, Cenisio, Milano",,€ 700.000,3100m²11
"Loft viale Col Di Lana 6, Corso San Gottardo, Milano",,€ 320.000,147m²11
"Trilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 734.000,3132m²14
"Quadrilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 941.000,4174m²23
"Appartamento via Giovanni Meli 42, Crescenzago, Milano",,€ 350.000,5110m²21
"Trilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 538.000,3101m²23
"Trilocale via Flumendosa 22, Crescenzago, Milano",,€ 520.000,3100m²24
"Trilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 360.000,376m²11
"Monolocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 205.000,141m²11
"Appartamento all'asta via San Dionigi 4, Milano",,"da € 46.500,00",233m²1
"Bilocale via Giorgio Merula, Tre Castelli - Faenza, Milano",,€ 600.000,296m²1T
"Monolocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 241.000,148m²12
"Bilocale via Giambellino 79, Giambellino, Milano",,€ 228.000,245m²1T
"Monolocale via Giambellino 79, Giambellino, Milano",,€ 175.000,140m²1T
"Appartamento via Leonida Bissolati 1, Maggiolina, Milano",,€ 950.000,5205m²3
"Monolocale via Francesco Petrarca 15, Vincenzo Monti, Milano",,€ 299.000,132m²1R
"Trilocale via Pisanello, Gambara, Milano",,€ 535.000,390m²24
"Bilocale via delle Forze Armate 395, Baggio, Milano",,€ 190.000,250m²12
"Trilocale via Rembrandt, San Siro, Milano",,€ 545.000,3100m²15
"Trilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 458.000,385m²14
"Trilocale via castelvetro, Sempione, Milano",,€ 1.060.000,3150m²24
"Trilocale largo Rapallo 1, Ca' Granda, Milano",,€ 225.000,380m²12
"Bilocale via Cesare da Sesto, Corso Genova, Milano",,€ 462.000,262m²1T
"Bilocale via Cesare da Sesto, Corso Genova, Milano",,€ 496.000,267m²1T
"Monolocale via Rosolino Pilo, Porta Venezia, Milano",,€ 215.000,121m²13
"Trilocale via Gabriele Camozzi 30, Baggio, Milano",,€ 179.000,376m²13
"Trilocale via Guglielmo Silva 35, Monte Rosa - Lotto, Milano",,€ 569.000,388m²24
"Trilocale via Cesare da Sesto, Corso Genova, Milano",,€ 727.000,3109m²13
"Bilocale via Privata Giovanni Battista Prandina, Ponte Nuovo, Milano",,€ 179.000,255m²1
"Trilocale via Adelaide Bono Cairoli, Turro, Milano",,€ 395.000,380m²2R
"Trilocale via Zante 30, Quartiere Forlanini, Milano",,€ 339.000,394m²13
"Quadrilocale via San Giacomo, Chiesa Rossa, Milano",,€ 155.000,4110m²22
"Trilocale via Innocenzo Isimbardi 26, Cermenate - Abbiategrasso, Milano",,€ 285.000,390m²22
"Monolocale via Marco d'Agrate, Corvetto, Milano",,€ 125.000,135m²1R
"Quadrilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 561.000,4113m²22
"Quadrilocale via Cola di Rienzo 57, Solari, Milano",,€ 850.000,4180m²24
"Loft Vicinanze piazza Medaglie D'Oro, Porta Romana - Medaglie d'Oro, Milano",,€ 375.000,245m²1T
"Trilocale via Abelardo Pecorini 3, Quartiere Forlanini, Milano",,€ 280.000,390m²1R
"Trilocale ottimo stato, terzo piano, Comasina, Milano",,€ 368.000,3100m²23
"Trilocale via Marco Aurelio, Parco Trotter, Milano",,€ 449.000,3150m²1R
"Trilocale via Ciro Menotti 26, Indipendenza, Milano",,€ 595.000,376m²1
"Bilocale via Adelaide Bono Cairoli, Turro, Milano",,€ 295.000,260m²1R
"Trilocale piazza Piero Gobetti 19, Città Studi, Milano",,€ 355.000,391m²14
"Quadrilocale via Marco Aurelio, Parco Trotter, Milano",,€ 449.000,4150m²1R
"Quadrilocale viale Ungheria, Viale Ungheria - Mecenate, Milano",,€ 269.000,4100m²1R
"Quadrilocale via Cesare da Sesto, Corso Genova, Milano",,€ 1.336.000,4191m²34
"Palazzo - Edificio via Ippocrate 12, Affori, Milano",,€ 580.000,5+225m²2
"Terratetto unifamiliare via Ippocrate 12, Affori, Milano",,€ 580.000,5+225m²2
"Quadrilocale via Francesco De Sanctis 43, Cermenate - Abbiategrasso, Milano",,€ 750.000,4165m²26
"Quadrilocale via Cesare da Sesto, Corso Genova, Milano",,€ 1.052.000,4167m²3R
"Trilocale piazza Antonio Gramsci 2, Paolo Sarpi, Milano",,€ 650.000,3115m²1R
"Appartamento all'asta via Jacopino da Tradate 8, Milano",,"da € 183.000,00",325/10/202367m²1
"Attico ottimo stato, 200 m², Palestro, Milano",,€ 4.000.000,3200m²35
"Trilocale via Capecelatro, 11, San Siro, Milano",,€ 435.000,3101m²15
"Trilocale viale brianza 11 11, Centrale, Milano",,€ 1.800,3140m²14
"Trilocale via Mincio 4, Corvetto, Milano",,€ 620.000,3110m²25
"Quadrilocale via San Eusebio, 24, Dezza, Milano",,€ 899.000,4150m²2T
"Trilocale via Vincenzo Russo 7, Turro, Milano",,€ 530.000,3130m²11
"Quadrilocale largo Porto di Classe, Argonne - Corsica, Milano",,€ 629.000,4115m²16
"Trilocale viale fulvio testi, Prato Centenaro, Milano",,€ 298.000,365m²3
"Appartamento corso Di Porta Nuova 15, Turati, Milano",,€ 2.150.000,5233m²32
"Loft piazzale AQUILEIA, Dezza, Milano",,€ 2.200.000,5+345m²3T
"Bilocale corso Di Porta Nuova 15, Turati, Milano",,€ 549.000,272m²12
"Quadrilocale via Morozzo della Rocca, San Vittore, Milano",,Prezzo su richiesta,4270m²34
"Bilocale via Marcantonio dal Re, Certosa, Milano",,€ 280.000,265m²14
"Monolocale via Cesare da Sesto, Corso Genova, Milano",,€ 297.000,140m²1T
"Bilocale via Cardinale Ascanio Sforza, Ascanio Sforza, Milano",,€ 475.000,270m²14
"Quadrilocale via Bartolomeo Eustachi, Morgagni, Milano",,Prezzo su richiesta,4160m²21
"Loft, ottimo stato, piano terra, Sempione, Milano",,€ 2.200.000,4160m²3T
"Loft, ottimo stato, piano terra, Sempione, Milano",,€ 1.250.000,3110m²2T
"Trilocale piazza 6 Febbraio, Sempione, Milano",,Prezzo su richiesta,3130m²22
"Quadrilocale via Melchiorre Gioia, Centrale, Milano",,€ 450.000,4108m²1R
"Trilocale via Madre Anna Eugenia Picco 31, Crescenzago, Milano",,€ 305.000,370m²14
"Appartamento ottimo stato, settimo piano, Città Studi, Milano",,€ 1.350.000,5+240m²37
"Appartamento all'asta via Michele Lessona 2, Milano",,"da € 59.250,00",213/12/202348m²3
"Monolocale via Popoli Uniti 14, Rovereto, Milano",,€ 190.000,143m²12
"Trilocale nuovo, piano terra, Sempione, Milano",,€ 580.000,390m²1T
"Quadrilocale via Lomellina 47, Argonne - Corsica, Milano",,€ 630.000,4109m²15
"Appartamento all'asta via Lucca , 28, Milano",,"da € 120.862,00",403/10/2023100m²4
"Trilocale ottimo stato, secondo piano, Vincenzo Monti, Milano",,€ 1.390.000,3118m²32
"Appartamento all'asta via del Cardellino, 55, Milano",,"da € 152.000,00",208/11/202376m²T
"Bilocale ottimo stato, quarto piano, Certosa, Milano",,€ 200.000,250m²14
"Appartamento via Eustachi, Buenos Aires, Milano",,€ 1.980.000,5230m²36
"Trilocale ottimo stato, quarto piano, Certosa, Milano",,€ 270.000,367m²14
"Trilocale piazza Francesco Carrara, Pezzotti - Meda, Milano",,€ 420.000,376m²14
"Monolocale via Popoli Uniti 14, Rovereto, Milano",,€ 190.000,143m²12
"Appartamento via Bartolomeo Cabella 15., Baggio, Milano",,€ 95.000,37m²1T
"Bilocale via Albrecht Dürer 4, Gambara, Milano",,€ 310.000,262m²13
"Bilocale via San Mamete 34, Quartiere Adriano, Milano",,€ 160.000,275m²1R
"Appartamento all'asta via Giacinto Gigante, 5, Milano",,"da € 90.000,00",216/11/202360m²2
"Appartamento all'asta via Bari , 4, Milano",,"da € 29.250,00",108/11/202328m²3
"Trilocale secondo piano, Vercelli - Wagner, Milano",,Prezzo su richiesta,3120m²22
"Trilocale via Sebastiano del Piombo 23, Monte Rosa - Lotto, Milano",,€ 349.000,362m²2R
"Appartamento all'asta via Busseto 4, Milano",,"da € 54.525,00",262m²4
"Bilocale via Salasco, Bocconi, Milano",,€ 565.000,265m²12
"Trilocale piazzale Martesana, Precotto, Milano",,€ 237.000,390m²25
"Appartamento all'asta via Crespi, 11, Milano",,"da € 95.000,00",305/10/202342m²3
"Quadrilocale via Quadronno, Quadronno - Crocetta, Milano",,€ 1.600.000,4210m²22
"Appartamento all'asta via Battista De Rolandi, 2, Milano",,"da € 74.250,00",211/10/202356m²2
"Trilocale via Voltri, Cantalupa - San Paolo, Milano",,€ 230.000,3120m²23
"Bilocale viale sarca, 187, Bicocca, Milano",,€ 228.000,266m²11
"Appartamento via della Guastalla, Guastalla, Milano",,Prezzo su richiesta,5300m²35
"Trilocale primo piano, Amendola - Buonarroti, Milano",,€ 688.000,3115m²1
"Appartamento all'asta via Elio Vittorini , 32, Milano",,"da € 100.200,00",431/01/202480m²
"Appartamento all'asta viale Certosa, 292, Milano",,"da € 122.880,00",407/11/202376m²
"Appartamento all'asta via Giambellino, 146, Milano",,"da € 42.000,00",312/10/202356m²
"Appartamento all'asta viale Marche , 40, Milano",,"da € 197.533,00",430/10/202379m²
"Bilocale via Siro Taddei , 2, Baggio, Milano",,€ 140.000,266m²1T
"Bilocale via San Gregorio 4, Buenos Aires, Milano",,€ 420.000,244m²11
"Bilocale via Stendhal 61, Solari, Milano",,€ 460.000,268m²12
"Bilocale via dei Cinquecento 22, Corvetto, Milano",,€ 235.000,245m²2
"Appartamento via Cerva 14, Borgogna - Largo Augusto, Milano",,€ 830.000,77m²1
"Trilocale viale Dell' Innovazione 22, Bicocca, Milano",,€ 810.000,3107m²21
"Quadrilocale via Accademia 23, Città Studi, Milano",,€ 890.000,4140m²24
"Monolocale via Cadore 22, Cadore, Milano",,€ 349.000,152m²11
"Monolocale via Cadore 22, Cadore, Milano",,€ 379.000,152m²12
"Quadrilocale viale Bacchiglione 21, Lodi - Brenta, Milano",,€ 720.000,4153m²28
"Trilocale via Cadore 29, Cadore, Milano",,€ 750.000,3100m²13
"Bilocale via Giovanni Pascoli 4/I, Città Studi, Milano",,€ 379.000,255m²1R
"Trilocale via Bruno Cesana 10, Cimiano, Milano",,€ 295.000,389m²11
"Bilocale via Morazzone 10, Arena, Milano",,€ 350.000,265m²12
"Bilocale via Romualdo Bonfadini 98, Viale Ungheria - Mecenate, Milano",,€ 180.000,265m²16
"Bilocale via Pigello Portinari 2, Greco - Segnano, Milano",,€ 230.000,250m²14
"Trilocale via Primaticcio 200, Bande Nere, Milano",,€ 410.000,3111m²1R
"Trilocale corso Lodi 34, Porta Romana - Medaglie d'Oro, Milano",,€ 599.000,390m²16
"Attico via Alfredo Catalani 55, Casoretto, Milano",,€ 950.000,4185m²35
"Bilocale via Privata Filippo Abbiati 5, San Siro, Milano",,€ 139.000,245m²12
"Bilocale via Meloria, Monte Rosa - Lotto, Milano",,€ 375.000,250m²1T
"Bilocale via Giambellino 14, Piazza Napoli, Milano",,€ 395.000,260m²16
"Bilocale via Padre Luigi Monti 23, Ca' Granda, Milano",,€ 185.000,258m²1R
"Appartamento viale Regina Giovanna, Porta Venezia, Milano",,€ 1.790.000,5+230m²33
"Trilocale via Don Luigi Guanella 13, Precotto, Milano",,€ 300.000,382m²1R
"Bilocale via Giacomo Leopardi 23, Vincenzo Monti, Milano",,€ 790.000,279m²11
"Bilocale via Giacomo Leopardi 23, Vincenzo Monti, Milano",,€ 790.000,279m²11
"Trilocale viale Francesco Crispi 15, Moscova, Milano",,€ 570.000,380m²11
"Trilocale via Gaeta 18, Affori, Milano",,€ 525.000,3115m²25
"Appartamento corso Venezia, San Babila, Milano",,€ 2.300.000,5+185m²35
"Trilocale via Jacopo Peri 2, Maggiolina, Milano",,€ 570.000,390m²21
"Bilocale via Publio Rutilio Rufo 10, Affori, Milano",,€ 219.000,248m²11
"Bilocale via Cesare da Sesto 10, Corso Genova, Milano",,€ 462.000,263m²1R
"Bilocale via Cesare da Sesto 10, Corso Genova, Milano",,€ 496.000,267m²1R
"Trilocale via Lodovico Pogliaghi 1, Giambellino, Milano",,€ 297.000,389m²11
"Appartamento via via Correggio 9, Amendola - Buonarroti, Milano",,€ 1.390.000,5+172m²24
"Trilocale via Alessandro Tadino 34, Buenos Aires, Milano",,€ 570.000,370m²21
"Trilocale via Grigna 15, Ghisolfa - Mac Mahon, Milano",,€ 540.000,3110m²22
"Bilocale via Monte Rotondo 14, Niguarda, Milano",,€ 219.000,258m²13
"Bilocale piazza San Camillo De Lellis, Centrale, Milano",,€ 335.000,247m²12
"Bilocale via Luigi Settembrini 7, Centrale, Milano",,€ 495.000,265m²12
"Bilocale via Lodovico Settala 59, Buenos Aires, Milano",,€ 330.000,265m²1T
"Open space via Giancarlo Sismondi 34, Argonne - Corsica, Milano",,€ 500.000,5+500m²3+T
"Appartamento via Donatello 2, Città Studi, Milano",,€ 790.000,5145m²24
"Bilocale corso Buenos Aires 64, Buenos Aires, Milano",,€ 750.000,290m²15
"Trilocale via Privata Solone 2, Precotto, Milano",,€ 410.000,390m²21
"Trilocale via Antonio Canova, Arco della Pace, Milano",,€ 690.000,3104m²2R
"Bilocale via Vittorio Scialoia 9, Affori, Milano",,€ 173.000,270m²1T
"Trilocale via Enrico Cosenz 44, Bovisa, Milano",,€ 260.600,359m²12
"Trilocale via Enrico Cosenz 44, Bovisa, Milano",,€ 275.900,363m²11
"Bilocale via Giovanni Pacini 39, Città Studi, Milano",,€ 375.000,250m²15
"Trilocale via Nicola Palmieri, 47, 20141 Milano Italia, Cermenate - Abbiategrasso, Milano",,€ 449.000,395m²2
"Monolocale via Paolo Mantegazza 25/2, Bovisa, Milano",,€ 125.000,132m²12
"Bilocale via Giovanni Battista Moroni , 22, Gambara, Milano",,€ 295.000,265m²1R
"Bilocale via della Moscova 29, Turati, Milano",,€ 429.000,245m²11
"Trilocale via Mauro Macchi 38, Centrale, Milano",,€ 570.000,380m²11
"Bilocale via Angiolo Maffucci 40, Dergano, Milano",,€ 198.000,255m²14
"Trilocale via Luigi Ornato 113, Niguarda, Milano",,€ 270.000,385m²21
"Bilocale via Giovanni Pacini 39, Città Studi, Milano",,€ 375.000,250m²15
"Monolocale Ripa di Porta Ticinese, Navigli - Darsena, Milano",,€ 278.000,132m²12
"Quadrilocale via Melzi d'Eril 25, Arco della Pace, Milano",,€ 1.020.000,4165m²13
"Trilocale via Ponte Nuovo 10, Ponte Nuovo, Milano",,€ 219.000,372m²1S
"Bilocale via Paolo Solaroli 8, Ripamonti, Milano",,€ 290.000,256m²1
"Loft via Privata Bassano del Grappa, 17, Parco Trotter, Milano",,€ 399.000,3100m²1R
"Trilocale viale Monza 117, Rovereto, Milano",,€ 347.000,363m²13
"Bilocale via Bramantino 3, Certosa, Milano",,€ 100.000,270m²1R
"Bilocale via carlini 1, Tripoli - Soderini, Milano",,€ 235.000,273m²1T
"Trilocale via Fryderyk Chopin 89, Vigentino - Fatima, Milano",,€ 369.000,3110m²22
"Trilocale via Arturo Graf 46, Vialba, Milano",,€ 190.000,385m²16
"Bilocale via Lambro 12, Porta Venezia, Milano",,€ 520.000,265m²15
"Trilocale via San Giuseppe Cottolengo, Tre Castelli - Faenza, Milano",,€ 540.000,3100m²24
"Trilocale via Giulio e Corrado Venini 38, Pasteur, Milano",,€ 379.000,375m²14
"Quadrilocale via Egidio Folli 5, Lambrate, Milano",,€ 355.000,498m²12
"Bilocale via Francesco Rismondo 2, Baggio, Milano",,€ 239.000,284m²1T
"Bilocale viale Campania 3, Plebisciti - Susa, Milano",,€ 365.000,247m²13
"Trilocale via Martiri Triestini 6, San Siro, Milano",,€ 499.000,3143m²2T
"Attico via dei Pellegrini 8/6, Quadronno - Crocetta, Milano",,€ 2.900.000,5+290m²3+6
"Bilocale via meda 16, Ascanio Sforza, Milano",,€ 335.000,245m²14
"Trilocale viale viale suzzani 278, Bignami - Ponale, Milano",,€ 365.000,3114m²12
"Bilocale via Giovanni Battista Prandina 25, Ponte Nuovo, Milano",,€ 195.000,255m²12
"Trilocale via Padre Placido Riccardi 25, Cimiano, Milano",,€ 190.000,360m²12
"Monolocale via Curio Dentato 8, Giambellino, Milano",,€ 200.000,135m²1R
"Trilocale via Tonale 9, Centrale, Milano",,€ 390.000,370m²1R
"Quadrilocale via Luigi Settembrini, Buenos Aires, Milano",,€ 795.000,4145m²23
"Appartamento all'asta via Michele Lessona 2, Milano",,"da € 59.250,00",213/12/202349m²
"Monolocale via Francesco Rismondo 80, Baggio, Milano",,€ 175.000,147m²1T
"Bilocale via della Torre 9, Turro, Milano",,€ 320.000,266m²14
"Quadrilocale viale Aretusa, San Siro, Milano",,€ 580.000,4135m²26
"Bilocale via Sant'Uguzzone 21, Villa San Giovanni, Milano",,€ 138.000,277m²1T
"Bilocale via Cenisio 55/A, Cenisio, Milano",,€ 359.000,250m²18
"Trilocale via del Turchino 27, Molise - Cuoco, Milano",,€ 266.000,385m²13
"Bilocale via Giovanni Battista Sammartini 37, Centrale, Milano",,€ 273.600,257m²1T
"Quadrilocale via Giovanni Cimabue 18, Monte Stella, Milano",,€ 480.000,4121m²12
"Bilocale via Rovereto 8, Rovereto, Milano",,€ 320.000,270m²11
"Bilocale via Jacopo Palma 28, Gambara, Milano",,€ 280.000,255m²15
"Trilocale via Francesco Rismondo 80, Baggio, Milano",,€ 285.000,387m²1T
"Attico via Sighele 4, Argonne - Corsica, Milano",,€ 1.049.000,5168m²25
"Bilocale via dei Valtorta 32, Turro, Milano",,€ 380.000,266m²12
"Bilocale via Sant'Alessandro Sauli 14, Pasteur, Milano",,€ 290.000,274m²11
"Bilocale via Malachia Marchesi de' Taddei 16, Frua, Milano",,€ 248.000,259m²1T
"Bilocale via Piero Montagnani Marelli 8, Vialba, Milano",,€ 188.000,270m²11
"Attico via Stefanardo da Vimercate 27/5, Gorla, Milano",,€ 650.000,4142m²22
"Trilocale via Tito Livio 33, Martini - Insubria, Milano",,€ 530.000,386m²15
"Bilocale via Ausonio 23, Corso Genova, Milano",,€ 349.000,240m²14
"Trilocale buono stato, sesto piano, Bocconi, Milano",,€ 680.000,3120m²26
"Bilocale via Luigi Capranica 8, Città Studi, Milano",,€ 428.000,250m²1T
"Trilocale piazza Ovidio, Viale Ungheria - Mecenate, Milano",,€ 770.000,3165m²2T
"Trilocale via Orio Vergani 14, Maggiolina, Milano",,€ 510.000,390m²22
"Trilocale via Enrico Falck, Gallaratese, Milano",,€ 295.000,385m²12
"Trilocale via Riccardo Galli, Monte Rosa - Lotto, Milano",,€ 380.000,360m²11
"Bilocale via Val Leventina 3, San Siro, Milano",,€ 380.000,250m²13
"Trilocale corso Cristoforo Colombo, Navigli - Darsena, Milano",,€ 795.000,3115m²22
"Bilocale via Domenico Scarlatti 20, Buenos Aires, Milano",,€ 335.000,265m²14
"Quadrilocale via Carlo Farini 63, Farini, Milano",,€ 900.000,4152m²1
"Bilocale via Sofonisba Anguissola 38, Gambara, Milano",,€ 315.000,255m²15
"Appartamento via Flumendosa 22, Crescenzago, Milano",,Prezzo su richiesta,5218m²26
"Monolocale via Padova 100, Parco Trotter, Milano",,€ 189.000,167m²11
"Bilocale via Maffeo Pantaleoni 10, Dergano, Milano",,€ 285.000,280m²12
"Trilocale via Teano 21, Comasina, Milano",,€ 250.000,383m²16
"Trilocale via Umberto Ceva 25, Bovisasca, Milano",,€ 245.000,385m²115
"Monolocale via Bezzecca 1, Montenero, Milano",,€ 210.000,131m²13
"Trilocale via Ambrogio da Fossano Bergognone 47, Solari, Milano",,€ 585.000,391m²1
"Monolocale viale Monza 102, Turro, Milano",,€ 138.000,140m²15
"Monolocale via BRAMANTE, Paolo Sarpi, Milano",,€ 345.000,143m²13
"Bilocale via Bezzecca 1, Montenero, Milano",,€ 300.000,243m²23
"Appartamento all'asta via Costanzo Cantoni 7, Milano",,"da € 42.000,00",112/12/202334m²S
"Bilocale viale Ortles 80, Corvetto, Milano",,€ 438.582,268m²14
"Bilocale via Alessandro Stradella 15, Buenos Aires, Milano",,€ 550.000,280m²12
"Quadrilocale via Giorgio Merula, Tre Castelli - Faenza, Milano",,€ 1.100.000,4175m²2T
"Bilocale viale Puglie 22, Bologna - Sulmona, Milano",,€ 325.000,261m²13
"Bilocale via Angera 3, Maggiolina, Milano",,€ 415.000,267m²1T
"Monolocale via Padova 70, Parco Trotter, Milano",,€ 200.000,129m²14
"Bilocale via Francesco dall'Ongaro 24, Plebisciti - Susa, Milano",,€ 350.000,273m²1R
"Trilocale via Plinio 51, Città Studi, Milano",,€ 890.000,3122m²26
"Appartamento via Privata Leopoldo Gasparotto,, Centrale, Milano",,€ 548.000,593m²25
"Bilocale via Imbonati 11., Dergano, Milano",,€ 260.000,250m²11
"Bilocale via Console Marcello, Certosa, Milano",,€ 230.000,265m²12
"Bilocale ottimo stato, sesto piano, Navigli - Darsena, Milano",,€ 325.000,245m²16
"Trilocale via dei salici 13, Quartiere Olmi, Milano",,€ 199.000,390m²14
"Trilocale via Giovanni Pacini, Città Studi, Milano",,€ 516.000,3130m²21
"Trilocale via Alfonso Capecelatro 11, San Siro, Milano",,€ 435.000,3100m²15
"Bilocale via Moise' Loria, Solari, Milano",,€ 390.000,272m²1T
"Bilocale via Moise' Loria, Solari, Milano",,€ 290.000,270m²1T
"Trilocale via Padova, 35, Parco Trotter, Milano",,€ 347.000,363m²21
"Bilocale via Cerva, Borgogna - Largo Augusto, Milano",,€ 830.000,260m²12
"Appartamento all'asta viale Certosa 32, Milano",,"da € 69.400,00",224/10/202337m²7
"Quadrilocale via Sardegna, 36, Frua, Milano",,€ 985.000,4115m²15
"Quadrilocale via F.lli Rizzardi 3, Trenno, Milano",,€ 695.000,4137m²21
"Trilocale via F.lli Rizzardi 3, Trenno, Milano",,€ 355.000,375m²2T
"Appartamento all'asta via Imperatore Graziano 34, Milano",,"da € 95.000,00",224/10/202351m²T
"Bilocale via Zurigo , 20, Inganni, Milano",,€ 240.000,261m²15
"Appartamento via dei Sormani, Dezza, Milano",,€ 1.180.000,5183m²31
"Trilocale via Orio Vergani, 14, Maggiolina, Milano",,€ 510.000,390m²22
"Trilocale ottimo stato, secondo piano, Maggiolina, Milano",,€ 530.000,391m²22
"Bilocale via Accademia, Città Studi, Milano",,€ 180.000,240m²11
"Mansarda viale Certosa 34, Certosa, Milano",,€ 209.000,255m²15
"Bilocale via Bernardino Luini 8, Sant'Ambrogio, Milano",,€ 1.500.000,2115m²2T
"Bilocale via Salasco, Bocconi, Milano",,€ 395.000,250m²13
"Trilocale via Pompeo Cambiasi, Casoretto, Milano",,€ 460.000,3120m²11
"Bilocale via Daniele Ricciarelli, San Siro, Milano",,€ 336.000,269m²14
"Bilocale viale dei Mille 35, Città Studi, Milano",,€ 158.000,241m²1S
"Trilocale via Tito Vignoli 42, Giambellino, Milano",,€ 465.000,3130m²21
"Bilocale via Raffaello Sanzio 16, Amendola - Buonarroti, Milano",,€ 520.000,275m²1R
"Bilocale via Francesco Albani 52, Monte Rosa - Lotto, Milano",,€ 485.000,280m²15
"Quadrilocale via della Marna 3, Bruzzano, Milano",,€ 330.000,4104m²16
"Bilocale via Giovanni Battista Giorgini 7, Cascina Merlata - Musocco, Milano",,€ 205.000,280m²1T
"Bilocale via Noto, Vigentino - Fatima, Milano",,€ 220.000,260m²11
"Trilocale viale Enrico Elia, Monte Rosa - Lotto, Milano",,€ 370.000,392m²11
"Trilocale ottimo stato, terzo piano, Sempione, Milano",,€ 500.000,370m²13
"Loft via Simone Schiaffino, Bovisa, Milano",,€ 270.000,290m²11
"Bilocale via Pontida, Moscova, Milano",,€ 475.000,250m²11
"Bilocale via Tito Vignoli, Giambellino, Milano",,€ 320.000,258m²1R
"Trilocale viale Edoardo Jenner 23, Farini, Milano",,€ 475.000,394m²25
"Bilocale via Francesco Albani 52, Monte Rosa - Lotto, Milano",,€ 485.000,280m²15
"Bilocale via Pieter Rubens, San Siro, Milano",,€ 289.000,245m²12
