in-card__title,nd-figure__content,in-realEstateListCard__priceOnTop,nd-list
"Bilocale via Santa Teresa, 60, Chiesa Rossa, Milano",,€ 245.000,271m²14
"Appartamento all'asta via Busseto , 4, Milano",,"da € 54.525,00",206/12/202354m²4
"Monolocale via Melchiorre Delfico 26/A, Ghisolfa - Mac Mahon, Milano",,€ 175.000,140m²1T
"Bilocale via Melchiorre Delfico, Ghisolfa - Mac Mahon, Milano",,€ 403.000,290m²13
"Trilocale via Franchino Gaffurio, Buenos Aires, Milano",,€ 635.000,380m²15
"Quadrilocale via Ponchielli, Buenos Aires, Milano",,€ 1.020.000,4130m²22
"Trilocale via Imperia, Famagosta, Milano",,€ 443.000,390m²11
"Quadrilocale via Benedetto Marcello, Buenos Aires, Milano",,€ 765.000,4135m²11
"Bilocale via Conchetta, Ascanio Sforza, Milano",,€ 508.000,275m²15
"Bilocale via Daniele Ricciarelli 13, San Siro, Milano",,€ 305.000,262m²1T
"Trilocale via Bartolomeo Eustachi, Morgagni, Milano",,€ 512.000,390m²11
"Trilocale via Goffredo Mameli, Indipendenza, Milano",,€ 584.000,395m²33
"Bilocale via Francesco Caracciolo, Cenisio, Milano",,€ 528.000,275m²14
"Trilocale piazza Bolivar, Piazza Napoli, Milano",,€ 692.000,390m²27
"Trilocale via Francesco Koristka, Cenisio, Milano",,€ 733.000,3105m²14
"Bilocale via Luigi Sacco, Frua, Milano",,€ 661.000,280m²13
"Trilocale via Cardinale Ascanio Sforza, Pezzotti - Meda, Milano",,€ 576.000,380m²13
"Trilocale via Maiocchi, Morgagni, Milano",,€ 700.000,3100m²13
"Bilocale viale Regina Giovanna, Morgagni, Milano",,€ 626.000,280m²12
"Trilocale via Scipione Pistrucci, Martini - Insubria, Milano",,€ 522.000,390m²11
"Trilocale via Giovanni Battista Pergolesi, Buenos Aires, Milano",,€ 777.000,395m²16
"Trilocale via Losanna, Cenisio, Milano",,€ 681.000,390m²22
"Trilocale viale Misurata, Tripoli - Soderini, Milano",,€ 637.000,3110m²12
"Bilocale viale Carlo Troya, Solari, Milano",,€ 486.000,280m²16
"Trilocale viale Dei Mille, Plebisciti - Susa, Milano",,€ 805.000,395m²22
"Trilocale via Belfiore, Vercelli - Wagner, Milano",,€ 992.000,3105m²21
"Trilocale via Marco D Argate, Corvetto, Milano",,€ 360.000,390m²15
"Bilocale via Cenisio, Cenisio, Milano",,€ 476.000,280m²15
"Quadrilocale via Giuseppe Frua, Frua, Milano",,€ 1.100.000,4130m²24
"Bilocale via Bernardino Verro 43, Ripamonti, Milano",,€ 353.000,267m²1T
"Trilocale corso Buenos Aires, Buenos Aires, Milano",,€ 616.000,380m²14
"Trilocale via Friuli, Cadore, Milano",,€ 825.000,3120m²11
"Trilocale via Guglielmo Ferrero, Famagosta, Milano",,€ 464.000,3105m²13
"Trilocale corso Buenos Aires, Buenos Aires, Milano",,€ 661.000,380m²16
"Bilocale via Francesco Brioschi, Corso San Gottardo, Milano",,€ 493.000,275m²16
"Bilocale via Andrea Doria, Centrale, Milano",,€ 565.000,280m²21
"Quadrilocale via Giulio Belinzaghi, Farini, Milano",,€ 688.000,4100m²23
"Trilocale via Daniele Ricciarelli 13, San Siro, Milano",,€ 395.000,382m²1T
"Bilocale piazza Insubria, Martini - Insubria, Milano",,€ 401.000,280m²14
"Bilocale via General Giuseppe Govone, Cenisio, Milano",,€ 486.000,280m²12
"Bilocale via Dei Guarnieri, Vigentino - Fatima, Milano",,€ 311.000,275m²13
"Bilocale via Fratelli Induno, Cenisio, Milano",,€ 299.000,250m²16
"Quadrilocale corso Sempione, Sempione, Milano",,€ 769.000,4115m²21
"Trilocale via Fauche, Sempione, Milano",,€ 671.000,390m²13
"Quadrilocale via Gaspare Aselli, Città Studi, Milano",,€ 609.000,4100m²22
"Bilocale via Carlo Tenca, Repubblica, Milano",,€ 765.000,280m²15
"Bilocale via degli Umiliati, Ponte Lambro, Milano",,€ 139.000,250m²13
"Trilocale corso Buenos Aires, Morgagni, Milano",,€ 611.000,375m²22
"Bilocale via Ercole Ricotti, Bovisa, Milano",,€ 318.000,275m²11
"Bilocale piazzale Siena, Piazzale Siena, Milano",,€ 414.000,280m²18
"Bilocale via Valentino Pasini, Plebisciti - Susa, Milano",,€ 576.000,280m²12
"Trilocale viale Giovanni Da Cermenate, Pezzotti - Meda, Milano",,€ 551.000,390m²24
"Trilocale via Romolo Gessi, Washington, Milano",,€ 543.000,375m²12
"Trilocale via Marco D Agrate, Corvetto, Milano",,€ 369.000,390m²25
"Trilocale viale Stelvio, Farini, Milano",,€ 493.000,370m²21
"Trilocale via Pietro Ogliari, Chiesa Rossa, Milano",,€ 316.000,380m²18
"Trilocale via Domenico Millelire, Piazzale Siena, Milano",,€ 520.000,395m²23
"Bilocale via Ruggero Leoncavallo 19, Parco Trotter, Milano",,€ 285.000,247m²12
"Appartamento in villa via Selvanesco 30, Chiesa Rossa, Milano",,€ 548.000,5229m²2
"Monolocale viale Gabriele D'Annunzio 7, Corso Genova, Milano",,€ 200.000,124m²15
"Appartamento via Cardinale Giovanni Cagliero, Maggiolina, Milano",,€ 560.000,5130m²23
"Appartamento all'asta via Busseto 4, Milano",,"da € 54.525,00",206/12/202354m²4
"Quadrilocale piazzale Antonio Cantore 2, Corso Genova, Milano",,€ 1.280.000,4155m²32
"Loft via Evangelista Torricelli 21, Ascanio Sforza, Milano",,€ 390.000,360m²1T
"Bilocale via Pellegrino Rossi 81, Affori, Milano",,€ 215.000,242m²1S
"Mansarda via San Bernardo 28, Quintosole - Chiaravalle, Milano",,€ 199.000,265m²1
"Appartamento in villa via Selvanesco 30, Chiesa Rossa, Milano",,€ 322.000,3126m²
"Appartamento via Cardinale Giovanni Cagliero, Maggiolina, Milano",,€ 695.000,5+164m²12
"Bilocale via Pier Lombardo 5, Porta Romana - Medaglie d'Oro, Milano",,€ 475.000,280m²1T
"Trilocale via Gianfranco Zuretti 9, Cascina dei Pomi, Milano",,€ 740.000,3109m²16
"Attico via Durazzo 5, Quartiere Feltre, Milano",,€ 639.000,5137m²2
"Trilocale via Padova 100, Parco Trotter, Milano",,€ 315.000,370m²13
"Bilocale via Giacomo Venezian 8, Città Studi, Milano",,€ 485.000,262m²14
"Trilocale via Nicola d'Apulia 13, Rovereto, Milano",,€ 370.000,367m²11
"Bilocale via Accademia 61, Casoretto, Milano",,€ 343.000,250m²13
"Monolocale via Padova 94, Parco Trotter, Milano",,€ 223.000,140m²13
"Bilocale via Padova 94, Parco Trotter, Milano",,€ 293.000,252m²13
"Bilocale via Errico Petrella 18, Buenos Aires, Milano",,€ 365.000,243m²13
"Trilocale viale Monza 117, Rovereto, Milano",,€ 347.000,363m²13
"Appartamento piazzale Brescia 1, San Siro, Milano",,€ 850.000,5160m²11
"Bilocale via dei Cybo 2, Pasteur, Milano",,€ 369.000,252m²11
"Quadrilocale via Federico Faruffini 6, De Angeli, Milano",,€ 680.000,4100m²22
"Appartamento via Barona 25, Cantalupa - San Paolo, Milano",,€ 450.000,5+243m²2
"Bilocale via Federico Ozanam 10, Buenos Aires, Milano",,€ 310.000,265m²2S
"Trilocale via Pietro Bembo 26, Affori, Milano",,€ 420.000,3110m²22
"Bilocale via Marco Aurelio 8, Parco Trotter, Milano",,€ 315.000,250m²11
"Quadrilocale via Antonio Baldissera, Morgagni, Milano",,€ 1.092.000,4140m²24
"Trilocale via Gaspare Rosales, Garibaldi - Corso Como, Milano",,€ 1.149.000,3115m²24
"Trilocale via Francesco Vigano, Garibaldi - Corso Como, Milano",,€ 1.257.000,3125m²21
"Trilocale via Carlo De Cristoforis, Garibaldi - Corso Como, Milano",,€ 1.310.000,3130m²24
"Quadrilocale via Lazzaretto, Buenos Aires, Milano",,€ 1.002.000,4140m²25
"Trilocale viale Umbria, Porta Romana - Medaglie d'Oro, Milano",,€ 535.000,385m²14
"Bilocale via Polibio, Vercelli - Wagner, Milano",,€ 643.000,275m²12
"Trilocale via Mauro Macchi, Centrale, Milano",,€ 650.000,3100m²15
